path,original_class,label,class_name,split
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (16).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (71).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (12).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (8).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (98).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (92).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (73).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (99).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (94).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (67).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (78).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (6).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (78).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (10).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (84).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (23).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (26).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (79).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (17).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (37).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (67).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (97).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (90).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (30).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (56).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (12).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (53).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (38).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (57).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (73).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (63).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (54).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (83).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (9).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (24).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (10).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (21).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (43).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (15).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (85).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (18).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (91).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (62).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (92).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (23).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (52).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (25).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (70).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (96).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (90).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (46).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (98).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (88).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (18).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (9).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (72).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (30).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (81).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (40).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (100).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (68).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (21).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (80).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (83).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (5).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (95).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (41).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (81).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (20).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (51).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (33).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (91).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (57).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (33).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (14).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (52).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (31).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (65).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (89).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (41).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (74).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (84).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (40).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (58).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (76).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (44).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (2).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9.jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (7).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (63).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (39).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (22).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (13).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (4).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (82).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (60).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (48).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (42).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (46).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (53).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (32).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (69).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (36).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (19).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (4).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (74).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (99).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (8).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (80).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (37).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (14).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (82).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (100).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (50).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (45).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (54).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (97).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (51).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (48).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (61).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (29).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (66).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (17).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (59).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (86).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (93).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (5).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (62).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (26).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (65).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (44).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (15).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (24).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (88).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (28).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (68).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (25).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (3).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (71).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (77).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (35).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (66).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (13).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (55).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (49).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (56).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (75).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (31).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (35).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (47).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (86).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (75).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (79).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (36).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (22).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (34).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8.jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (93).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (45).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (69).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (60).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (11).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (27).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (42).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (7).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (38).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (47).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (16).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (2).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/10 (9).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/1 (21).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/12 (100).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/13 (29).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/11 (6).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/12 (15).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/1 (46).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/1 (27).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/12 (94).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/13 (34).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/10 (52).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/13 (56).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/10 (27).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/11 (37).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/11 (24).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/11 (95).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/13 (2).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/1 (48).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/11 (23).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/1 (32).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/13 (37).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/10 (56).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/1 (74).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/12 (78).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/12 (88).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/13 (75).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/10 (53).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/10 (82).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/1 (23).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/10 (34).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/1 (87).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/11 (3).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/12 (68).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/13 (9).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/13 (28).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_1st_part/13 (96).jpg,NonDemented,0,CN,train
